state_fips,age,cow,english,marital,educ,sex,hours,yoep,nativity,income,state_abb,entry_recency,age_sq,educ_level,married,female,y
42,44,1.0,1.0,1,22.0,2,40.0,2017.0,2,175000.0,PA,1.0,1936,BAplus,1,1,12.07254696717504
42,44,1.0,1.0,1,21.0,1,40.0,2017.0,2,73000.0,PA,1.0,1936,BAplus,1,0,11.19822841866684
42,26,1.0,1.0,1,22.0,1,40.0,2017.0,2,95000.0,PA,1.0,676,BAplus,1,0,11.461642696843066
42,41,1.0,1.0,1,22.0,1,40.0,2017.0,2,120000.0,PA,1.0,1681,BAplus,1,0,11.695255355062795
42,29,2.0,1.0,5,23.0,1,50.0,2017.0,2,57000.0,PA,1.0,841,BAplus,0,0,10.950824090522445
42,35,1.0,1.0,1,21.0,2,40.0,2017.0,2,80000.0,PA,1.0,1225,BAplus,1,1,11.289794413577894
42,27,1.0,1.0,5,21.0,1,40.0,2017.0,2,80000.0,PA,1.0,729,BAplus,0,0,11.289794413577894
42,37,1.0,1.0,1,21.0,1,40.0,2018.0,2,90000.0,PA,0.0,1369,BAplus,1,0,11.407576060361786
42,29,1.0,1.0,1,21.0,1,50.0,2018.0,2,110000.0,PA,0.0,841,BAplus,1,0,11.608244735642321
42,31,1.0,1.0,5,20.0,1,40.0,2017.0,2,77000.0,PA,1.0,961,SomeCollege,0,0,11.251573687764477
42,40,1.0,1.0,1,22.0,1,50.0,2017.0,2,170000.0,PA,1.0,1600,BAplus,1,0,12.04355959836804
42,49,2.0,2.0,1,22.0,2,40.0,2018.0,2,59000.0,PA,0.0,2401,BAplus,1,1,10.985309671896763
42,32,1.0,1.0,1,22.0,2,40.0,2017.0,2,71000.0,PA,1.0,1024,BAplus,1,1,11.170449240431308
42,41,1.0,2.0,1,21.0,1,38.0,2017.0,2,165000.0,PA,1.0,1681,BAplus,1,0,12.013706813470414
42,32,1.0,2.0,1,21.0,1,40.0,2017.0,2,105300.0,PA,1.0,1024,BAplus,1,0,11.564578194753137
42,27,1.0,1.0,1,22.0,1,40.0,2018.0,2,60000.0,PA,0.0,729,BAplus,1,0,11.002116507732017
42,25,1.0,1.0,5,21.0,1,50.0,2018.0,2,75000.0,PA,0.0,625,BAplus,0,0,11.225256725762893
42,30,1.0,1.0,5,21.0,1,80.0,2017.0,2,80000.0,PA,1.0,900,BAplus,0,0,11.289794413577894
42,29,1.0,1.0,5,21.0,2,40.0,2017.0,2,112000.0,PA,1.0,841,BAplus,0,1,11.626263078808801
