experiment,o,alpha,coverage,width,method,dataset,nominal_coverage
40024,0,0.05,1,,D-HCP,fixedN21,0.95
40025,0,0.05,1,,D-HCP,fixedN21,0.95
40026,0,0.05,1,,D-HCP,fixedN21,0.95
40027,0,0.05,1,,D-HCP,fixedN21,0.95
40028,0,0.05,1,,D-HCP,fixedN21,0.95
40029,0,0.05,1,,D-HCP,fixedN21,0.95
40030,0,0.05,1,,D-HCP,fixedN21,0.95
40031,0,0.05,1,,D-HCP,fixedN21,0.95
40032,0,0.05,1,,D-HCP,fixedN21,0.95
40033,0,0.05,1,,D-HCP,fixedN21,0.95
40034,0,0.05,1,,D-HCP,fixedN21,0.95
40035,0,0.05,1,,D-HCP,fixedN21,0.95
40036,0,0.05,1,,D-HCP,fixedN21,0.95
40037,0,0.05,1,,D-HCP,fixedN21,0.95
40038,0,0.05,1,,D-HCP,fixedN21,0.95
40039,0,0.05,1,,D-HCP,fixedN21,0.95
40040,0,0.05,1,,D-HCP,fixedN21,0.95
40041,0,0.05,1,,D-HCP,fixedN21,0.95
40042,0,0.05,1,,D-HCP,fixedN21,0.95
40043,0,0.05,1,,D-HCP,fixedN21,0.95
40044,0,0.05,1,,D-HCP,fixedN21,0.95
40045,0,0.05,1,,D-HCP,fixedN21,0.95
40046,0,0.05,1,,D-HCP,fixedN21,0.95
40047,0,0.05,1,,D-HCP,fixedN21,0.95
40048,0,0.05,1,,D-HCP,fixedN21,0.95
40049,0,0.05,1,,D-HCP,fixedN21,0.95
40050,0,0.05,1,,D-HCP,fixedN21,0.95
40051,0,0.05,1,,D-HCP,fixedN21,0.95
40052,0,0.05,1,,D-HCP,fixedN21,0.95
40053,0,0.05,1,,D-HCP,fixedN21,0.95
40054,0,0.05,1,,D-HCP,fixedN21,0.95
40055,0,0.05,1,,D-HCP,fixedN21,0.95
40056,0,0.05,1,,D-HCP,fixedN21,0.95
40057,0,0.05,1,,D-HCP,fixedN21,0.95
40058,0,0.05,1,,D-HCP,fixedN21,0.95
40059,0,0.05,1,,D-HCP,fixedN21,0.95
40060,0,0.05,1,,D-HCP,fixedN21,0.95
40061,0,0.05,1,,D-HCP,fixedN21,0.95
40062,0,0.05,1,,D-HCP,fixedN21,0.95
40063,0,0.05,1,,D-HCP,fixedN21,0.95
40064,0,0.05,1,,D-HCP,fixedN21,0.95
40065,0,0.05,1,,D-HCP,fixedN21,0.95
40066,0,0.05,1,,D-HCP,fixedN21,0.95
40067,0,0.05,1,,D-HCP,fixedN21,0.95
40068,0,0.05,1,,D-HCP,fixedN21,0.95
40069,0,0.05,1,,D-HCP,fixedN21,0.95
40070,0,0.05,1,,D-HCP,fixedN21,0.95
40071,0,0.05,1,,D-HCP,fixedN21,0.95
40072,0,0.05,1,,D-HCP,fixedN21,0.95
40073,0,0.05,1,,D-HCP,fixedN21,0.95
40074,0,0.05,1,,D-HCP,fixedN21,0.95
40075,0,0.05,1,,D-HCP,fixedN21,0.95
40076,0,0.05,1,,D-HCP,fixedN21,0.95
40077,0,0.05,1,,D-HCP,fixedN21,0.95
40078,0,0.05,1,,D-HCP,fixedN21,0.95
40079,0,0.05,1,,D-HCP,fixedN21,0.95
40080,0,0.05,1,,D-HCP,fixedN21,0.95
40081,0,0.05,1,,D-HCP,fixedN21,0.95
40082,0,0.05,1,,D-HCP,fixedN21,0.95
40083,0,0.05,1,,D-HCP,fixedN21,0.95
40084,0,0.05,1,,D-HCP,fixedN21,0.95
40085,0,0.05,1,,D-HCP,fixedN21,0.95
40086,0,0.05,1,,D-HCP,fixedN21,0.95
40087,0,0.05,1,,D-HCP,fixedN21,0.95
40088,0,0.05,1,,D-HCP,fixedN21,0.95
40089,0,0.05,1,,D-HCP,fixedN21,0.95
40090,0,0.05,1,,D-HCP,fixedN21,0.95
40091,0,0.05,1,,D-HCP,fixedN21,0.95
40092,0,0.05,1,,D-HCP,fixedN21,0.95
40093,0,0.05,1,,D-HCP,fixedN21,0.95
40094,0,0.05,1,,D-HCP,fixedN21,0.95
40095,0,0.05,1,,D-HCP,fixedN21,0.95
40096,0,0.05,1,,D-HCP,fixedN21,0.95
