experiment,o_observed,coverage_donor_none,coverage_donor_mean,coverage_donor_ols,coverage_stdcp,coverage_hcp,width_donor_none,width_donor_mean,width_donor_ols,width_stdcp,width_hcp,infinite_donor_none,infinite_donor_mean,infinite_donor_ols,infinite_stdcp,infinite_hcp
27,30,0.83,0.75,0.83,0.84,0.9,1.4223471637769465,2.3661242145360646,1.6362763659684838,1.628577191227489,1.7332650011087756,0,0,0,0,0
27,40,0.83,0.78,0.82,0.83,0.88,1.4010066958596519,2.295080390441737,1.539028027661943,1.5960596004353802,1.7332650011087756,0,0,0,0,0
27,50,0.82,0.81,0.86,0.84,0.9,1.4142521396183825,2.2477075014274597,1.4784266118771785,1.4818365499090664,1.7332650011087756,0,0,0,0,0
28,0,0.84,0.84,0.84,,0.84,1.6331019404124172,1.6331019404124172,1.6331019404124172,,1.6331019404124172,0,0,0,0,0
28,10,0.84,0.86,0.79,0.83,0.88,1.473644559826884,1.6914423133040173,3.1092719894168175,4.842645642110062,1.6331019404124172,0,0,0,0,0
28,20,0.77,0.75,0.76,0.84,0.85,1.4040542897032444,1.6280254966515586,1.3992673856708167,1.811917541088156,1.6331019404124172,0,0,0,0,0
28,30,0.85,0.82,0.82,0.86,0.88,1.3263650552868376,2.3178915295785143,1.435118366525526,1.562539305976582,1.6331019404124172,0,0,0,0,0
28,40,0.82,0.85,0.84,0.86,0.87,1.5628001990469396,2.351119750124817,1.6670444053301177,1.6235188223983976,1.6331019404124172,0,0,0,0,0
28,50,0.83,0.82,0.81,0.8,0.87,1.4332259042448545,2.2534007657087844,1.5309201963762797,1.575942270446657,1.6331019404124172,0,0,0,0,0
29,0,0.87,0.87,0.87,,0.87,1.6670852521638524,1.6670852521638524,1.6670852521638524,,1.6670852521638524,0,0,0,0,0
29,10,0.8,0.81,0.78,0.83,0.85,1.5778874846928028,1.6686375235762654,2.3340517309173854,4.610392263703132,1.6670852521638524,0,0,0,0,0
