tau_B,experiment,o,method,coverage,width,n_infinite
5.0,6,30,S-HCP-within,0.85,12.096403209030541,0
5.0,6,30,Std-CP,0.81,2.626229263004868,0
5.0,6,30,Subsampling,0.76,21.635326736877527,0
5.0,6,35,Donor-HCP-no-within,0.83,12.062162776934354,0
5.0,6,35,Donor-HCP-within,0.8,2.7286625101655044,0
5.0,6,35,HCP,0.81,23.40305354136336,0
5.0,6,35,Pooling,0.77,22.19334881422219,0
5.0,6,35,Repeated,0.81,23.515116087498395,0
5.0,6,35,S-HCP-within,0.87,12.30605558906946,0
5.0,6,35,Std-CP,0.77,2.67227243327046,0
5.0,6,35,Subsampling,0.76,21.635326736877527,0
5.0,7,0,Donor-HCP-no-within,0.47,7.819950135015184,0
5.0,7,0,Donor-HCP-within,0.47,7.819950135015184,0
5.0,7,0,HCP,0.47,7.819950135015184,0
5.0,7,0,Pooling,0.37,6.711601231073594,0
5.0,7,0,Repeated,0.45,7.533911791813019,0
5.0,7,0,S-HCP-within,0.59,9.575089865924928,0
5.0,7,0,Std-CP,1.0,,100
5.0,7,0,Subsampling,0.38,6.86532016833533,0
5.0,7,5,Donor-HCP-no-within,0.62,10.945003560648924,0
5.0,7,5,Donor-HCP-within,0.6,9.515787821181469,0
5.0,7,5,HCP,0.47,7.819950135015184,0
5.0,7,5,Pooling,0.37,6.711601231073594,0
5.0,7,5,Repeated,0.45,7.533911791813019,0
5.0,7,5,S-HCP-within,0.54,9.49404450790247,0
5.0,7,5,Std-CP,0.78,5.915701618157033,0
5.0,7,5,Subsampling,0.38,6.86532016833533,0
5.0,7,10,Donor-HCP-no-within,0.6,10.812400261707701,0
5.0,7,10,Donor-HCP-within,0.7,10.01145664778722,0
5.0,7,10,HCP,0.47,7.819950135015184,0
5.0,7,10,Pooling,0.37,6.711601231073594,0
5.0,7,10,Repeated,0.45,7.533911791813019,0
5.0,7,10,S-HCP-within,0.53,9.304663885221299,0
5.0,7,10,Std-CP,0.83,9.80982567378945,0
5.0,7,10,Subsampling,0.38,6.86532016833533,0
5.0,7,15,Donor-HCP-no-within,0.59,10.414529048600782,0
5.0,7,15,Donor-HCP-within,0.69,7.549965783983439,0
5.0,7,15,HCP,0.47,7.819950135015184,0
5.0,7,15,Pooling,0.37,6.711601231073594,0
5.0,7,15,Repeated,0.45,7.533911791813019,0
5.0,7,15,S-HCP-within,0.55,9.425202039576028,0
