tau_B,alpha,o,dataset_id,mean_width,sd_upper,sd_width,relative_instability,n_finite,randomization_varied_only
5.0,0.1,0,28,39.12321516976498,1.0711834781949522e-14,0.0,2.7379740482647733e-16,100,True
5.0,0.1,0,27,30.242719319365037,5.355917390974761e-15,7.141223187966347e-15,1.770977448957527e-16,100,True
5.0,0.1,0,26,22.999808901705336,3.570611593983174e-15,0.0,1.5524527222130217e-16,100,True
5.0,0.1,0,29,26.6788502343676,3.570611593983174e-15,1.0711834781949522e-14,1.3383678691608398e-16,100,True
5.0,0.1,0,30,53.518288926077936,7.141223187966347e-15,7.141223187966347e-15,1.3343519255315042e-16,100,True
5.0,0.1,0,25,20.877868341320923,3.570611593983174e-15,3.570611593983174e-15,1.7102376236927952e-16,100,True
5.0,0.1,0,31,28.35813008956011,3.570611593983174e-15,1.0711834781949522e-14,1.2591139058557584e-16,100,True
5.0,0.1,0,32,39.92053983399332,3.570611593983174e-15,1.4282446375932695e-14,8.944296867806158e-17,100,True
5.0,0.1,0,34,49.30158724607335,7.141223187966347e-15,1.4282446375932695e-14,1.448477338533378e-16,100,True
5.0,0.1,0,35,59.53865806394072,3.5706115939831735e-14,7.141223187966347e-15,5.997131460619358e-16,100,True
5.0,0.1,0,33,59.07566943970366,7.141223187966347e-15,1.4282446375932695e-14,1.2088264518534365e-16,100,True
5.0,0.1,0,36,26.084659303856473,7.141223187966347e-15,3.570611593983174e-15,2.7377099715120897e-16,100,True
5.0,0.1,0,37,46.46391918701637,3.570611593983174e-15,0.0,7.684697409212363e-17,100,True
5.0,0.1,0,40,19.927653924993443,1.785305796991587e-15,3.570611593983174e-15,8.95893617839499e-17,100,True
5.0,0.1,0,41,39.83113908711546,7.141223187966347e-15,7.141223187966347e-15,1.7928744574308155e-16,100,True
5.0,0.1,0,38,46.10957810309093,0.0,7.141223187966347e-15,0.0,100,True
5.0,0.1,0,43,41.812483996443795,0.0,7.141223187966347e-15,0.0,100,True
5.0,0.1,0,42,64.34345806803844,0.0,2.856489275186539e-14,0.0,100,True
5.0,0.1,0,39,46.52494212095762,7.141223187966347e-15,1.4282446375932695e-14,1.5349236049343762e-16,100,True
5.0,0.1,0,45,28.547586316706607,1.785305796991587e-15,3.570611593983174e-15,6.253788944485268e-17,100,True
5.0,0.1,0,44,35.03931815827359,3.570611593983174e-15,7.141223187966347e-15,1.0190299873572369e-16,100,True
5.0,0.1,0,46,37.42259295278958,0.0,0.0,0.0,100,True
5.0,0.1,0,47,35.88021562698305,3.570611593983174e-15,7.141223187966347e-15,9.951477524839515e-17,100,True
5.0,0.1,0,49,31.736729846581614,3.570611593983174e-15,3.570611593983174e-15,1.1250723093538155e-16,100,True
5.0,0.1,0,48,27.116216705875487,3.570611593983174e-15,1.0711834781949522e-14,1.316780888983492e-16,100,True
5.0,0.1,5,2,36.38777850041057,1.0666160941899347,5.300203866914089,0.029312481776756445,100,True
5.0,0.1,5,0,27.36983403836919,7.44982412295967,12.231397713544531,0.27219105941657956,100,True
5.0,0.1,5,4,35.725774941505335,3.032509496798945,1.3851538445442686,0.08488295920142097,100,True
