yoep_min,min_income,trim2,min_puma_size,n_rows,n_pumas_eligible,median_n,min_n,max_abs_rho,mean_abs_rho,n_sig,rho_ba,p_ba
2009,10000,0.0,30,4708,41,40.0,30,0.5294735606264862,0.2610841445841926,3,0.5294735606264862,0.00037131495734924803
2007,10000,0.0,31,5958,55,44.0,31,0.5390408492849068,0.3091198002223089,4,0.5390408492849068,2.1765003965927077e-05
2007,10000,0.02,31,5868,54,43.5,31,0.5419013642959083,0.29733720685977955,3,0.5419013642959083,2.3159175439941467e-05
2011,0,0.0,30,3948,29,38.0,30,0.5421562188648845,0.2651676860692818,2,0.5421562188648845,0.002380965016583954
2008,0,0.0,31,5586,49,43.0,31,0.5432349007356664,0.2626384064731817,3,0.5432349007356664,5.5004473235211886e-05
2007,10000,0.0,30,5958,56,43.5,30,0.5473484503071885,0.30148048352786067,3,0.5473484503071885,1.268772149047747e-05
2008,0,0.02,30,5499,49,42.0,30,0.5478190180666052,0.3030562064537668,3,0.5478190180666052,4.618362885125784e-05
2008,10000,0.0,30,5308,49,40.0,30,0.5497333344559517,0.28028210521271407,3,0.5497333344559517,4.2900159407247045e-05
2009,10000,0.02,31,4635,40,38.5,31,0.5504353224999291,0.2749378380764082,2,0.5504353224999291,0.00023330070787904724
2012,0,0.0,30,3472,19,38.0,31,0.5525763115143129,0.299353891827668,3,0.5226597596170411,0.021680486514603095
2012,0,0.0,31,3472,19,38.0,31,0.5525763115143129,0.299353891827668,3,0.5226597596170411,0.021680486514603095
2008,10000,0.02,31,5227,47,40.0,31,0.5537583124486027,0.3094448996069833,3,0.5537583124486027,5.39698480745666e-05
2012,10000,0.02,31,3218,16,35.0,31,0.5562227552891023,0.31826703623355385,2,0.4970501217477084,0.050138207396151754
2012,10000,0.02,30,3218,17,34.0,30,0.5566570004171115,0.3078969467171051,1,0.5566570004171115,0.02029287757715594
2008,10000,0.0,31,5308,47,40.0,31,0.5593728132093487,0.3214199282354233,3,0.5593728132093487,4.3630458004932293e-05
2011,0,0.02,31,3887,24,40.0,31,0.5609619058580293,0.26978239814058924,2,0.5609619058580293,0.004348445544318361
2008,0,0.02,31,5499,48,42.0,31,0.5633226627417361,0.28906016196144646,3,0.5633226627417361,3.065758372096812e-05
2011,0,0.0,31,3948,26,40.0,31,0.563400779781559,0.2768937885441313,1,0.563400779781559,0.002726255071144643
2009,10000,0.0,31,4708,40,40.0,31,0.570248238171269,0.29272991520236974,2,0.570248238171269,0.0001222920141864902
2008,10000,0.02,30,5227,48,40.0,30,0.577304755238104,0.30107423753328044,3,0.577304755238104,1.7414443234004715e-05
2011,10000,0.0,30,3726,26,37.0,30,0.6132764873685682,0.24342351713876023,1,0.6132764873685682,0.0008639614371226597
2012,0,0.02,31,3416,17,37.0,31,0.6773481199765737,0.3575560320660897,3,0.6773481199765737,0.0028154115836551015
2012,0,0.02,30,3416,18,37.0,30,0.6974153178302863,0.34986634813067485,3,0.6974153178302863,0.0012939285543981948
