test_state,percentile,n_observed,method,covered,width,infinite,lower,upper,true_y,mu_hat,n_cal_groups,n_cal_total_obs,n_test_total
IA,50,1,Repeated,1,2.2537646510347678,0,10.470223175416171,12.723987826450939,10.62135173563291,11.597105500933555,25,788,7
IA,75,6,HCP++,1,1.412999621370055,0,10.323004553022091,11.736004174392146,11.002116507732017,11.029504363707119,25,788,7
IA,75,6,HCP.sample,1,1.3600249042806816,0,10.336930154617054,11.696955058897736,11.002116507732017,11.029504363707119,25,788,7
IA,75,6,HCP,1,2.2537646510347678,0,10.198375918786024,12.452140569820791,11.002116507732017,11.325258244303408,25,788,7
IA,75,6,Pooling,1,1.9912474819854324,0,10.329634503310691,12.320881985296124,11.002116507732017,11.325258244303408,25,788,7
IA,75,6,Subsampling,1,1.8615190107956963,0,10.39449873890556,12.256017749701256,11.002116507732017,11.325258244303408,25,788,7
IA,75,6,Repeated,1,2.2537646510347678,0,10.198375918786024,12.452140569820791,11.002116507732017,11.325258244303408,25,788,7
ID,0,1,HCP++,1,2.274497067485207,0,10.452326828416895,12.726823895902102,10.62135173563291,11.589575362159499,25,788,2
ID,0,1,HCP.sample,1,2.243684923298453,0,10.475263039284329,12.718947962582781,10.62135173563291,11.589575362159499,25,788,2
ID,0,1,HCP,1,2.2537646510347678,0,10.470223175416171,12.723987826450939,10.62135173563291,11.597105500933555,25,788,2
ID,0,1,Pooling,1,1.9912474819854324,0,10.601481759940839,12.592729241926271,10.62135173563291,11.597105500933555,25,788,2
ID,0,1,Subsampling,0,1.8924580888063147,0,10.650876456530398,12.543334545336712,10.62135173563291,11.597105500933555,25,788,2
ID,0,1,Repeated,1,2.290091006530517,0,10.452059997668297,12.742151004198814,10.62135173563291,11.597105500933555,25,788,2
ID,25,1,HCP++,1,2.2444904359632716,0,10.47561054663972,12.720100982602991,10.62135173563291,11.597855764621356,25,788,2
ID,25,1,HCP.sample,1,2.076329157980826,0,10.558940921943142,12.635270079923968,10.62135173563291,11.597855764621356,25,788,2
ID,25,1,HCP,1,2.2537646510347678,0,10.470223175416171,12.723987826450939,10.62135173563291,11.597105500933555,25,788,2
ID,25,1,Pooling,1,1.9912474819854324,0,10.601481759940839,12.592729241926271,10.62135173563291,11.597105500933555,25,788,2
ID,25,1,Subsampling,1,2.243684923298453,0,10.475263039284329,12.718947962582781,10.62135173563291,11.597105500933555,25,788,2
ID,25,1,Repeated,1,2.2537646510347678,0,10.470223175416171,12.723987826450939,10.62135173563291,11.597105500933555,25,788,2
ID,50,1,HCP++,1,2.2444904359632716,0,10.47561054663972,12.720100982602991,10.62135173563291,11.597855764621356,25,788,2
ID,50,1,HCP.sample,1,2.249439739269146,0,10.472385631298982,12.721825370568128,10.62135173563291,11.597855764621356,25,788,2
ID,50,1,HCP,1,2.2537646510347678,0,10.470223175416171,12.723987826450939,10.62135173563291,11.597105500933555,25,788,2
ID,50,1,Pooling,1,1.9912474819854324,0,10.601481759940839,12.592729241926271,10.62135173563291,11.597105500933555,25,788,2
ID,50,1,Subsampling,1,2.7909171180250922,0,10.201646941921009,12.992564059946101,10.62135173563291,11.597105500933555,25,788,2
ID,50,1,Repeated,1,2.249439739269146,0,10.472385631298982,12.721825370568128,10.62135173563291,11.597105500933555,25,788,2
ID,75,1,HCP++,1,2.2444904359632716,0,10.47561054663972,12.720100982602991,10.62135173563291,11.597855764621356,25,788,2
ID,75,1,HCP.sample,1,2.076329157980826,0,10.558940921943142,12.635270079923968,10.62135173563291,11.597855764621356,25,788,2
ID,75,1,HCP,1,2.2537646510347678,0,10.470223175416171,12.723987826450939,10.62135173563291,11.597105500933555,25,788,2
ID,75,1,Pooling,1,1.9912474819854324,0,10.601481759940839,12.592729241926271,10.62135173563291,11.597105500933555,25,788,2
ID,75,1,Subsampling,1,2.076329157980826,0,10.558940921943142,12.635270079923968,10.62135173563291,11.597105500933555,25,788,2
ID,75,1,Repeated,1,2.2537646510347678,0,10.470223175416171,12.723987826450939,10.62135173563291,11.597105500933555,25,788,2
IN,0,12,HCP++,1,2.1451738618436416,0,10.919910186642955,13.065084048486597,11.002116507732017,11.992497117564776,25,788,13
IN,0,12,HCP.sample,1,1.301416436137501,0,10.604999404504948,11.906415840642449,11.002116507732017,11.992497117564776,25,788,13
IN,0,12,HCP,0,2.2537646510347678,0,11.129141051775425,13.382905702810193,11.002116507732017,12.25602337729281,25,788,13
IN,0,12,Pooling,0,1.9912474819854324,0,11.260399636300093,13.251647118285526,11.002116507732017,12.25602337729281,25,788,13
IN,0,12,Subsampling,0,2.0985632228377433,0,11.206741765873938,13.305304988711681,11.002116507732017,12.25602337729281,25,788,13
IN,0,12,Repeated,0,2.290091006530517,0,11.11097787402755,13.401068880558068,11.002116507732017,12.25602337729281,25,788,13
IN,25,9,HCP++,1,2.1294813716354284,0,9.951072962720218,12.080554334355647,10.609081944147828,11.015813648537932,25,788,13
IN,25,9,HCP.sample,1,1.929571354339945,0,10.057495821362373,11.987067175702318,10.609081944147828,11.015813648537932,25,788,13
IN,25,9,HCP,1,2.2537646510347678,0,10.603701119385555,12.857465770420323,10.609081944147828,11.730583444902939,25,788,13
IN,25,9,Pooling,0,1.9912474819854324,0,10.734959703910222,12.726207185895655,10.609081944147828,11.730583444902939,25,788,13
IN,25,9,Subsampling,0,2.0985632228377433,0,10.681301833484067,12.77986505632181,10.609081944147828,11.730583444902939,25,788,13
IN,25,9,Repeated,1,2.2537646510347678,0,10.603701119385555,12.857465770420323,10.609081944147828,11.730583444902939,25,788,13
IN,50,5,HCP++,1,2.96250102060419,0,10.169422396103911,13.131923416708101,11.156264806643742,11.650672906406006,25,788,13
IN,50,5,HCP.sample,1,1.3844236685465852,0,10.167389593214969,11.551813261761554,11.156264806643742,11.650672906406006,25,788,13
IN,50,5,HCP,1,2.2537646510347678,0,10.886867862614867,13.140632513649635,11.156264806643742,12.013750188132251,25,788,13
IN,50,5,Pooling,1,1.9912474819854324,0,11.018126447139535,13.009373929124967,11.156264806643742,12.013750188132251,25,788,13
IN,50,5,Subsampling,1,1.9912474819854324,0,11.018126447139535,13.009373929124967,11.156264806643742,12.013750188132251,25,788,13
IN,50,5,Repeated,1,2.290091006530517,0,10.868704684866993,13.15879569139751,11.156264806643742,12.013750188132251,25,788,13
IN,75,3,HCP++,1,4.242766059354242,0,8.447554960491376,12.690321019845618,11.225256725762893,10.568937990168497,25,788,13
IN,75,3,HCP.sample,1,3.771373960251175,0,8.666048877480831,12.437422837732006,11.225256725762893,10.568937990168497,25,788,13
IN,75,3,HCP,1,2.2537646510347678,0,10.393780720868627,12.647545371903394,11.225256725762893,11.52066304638601,25,788,13
IN,75,3,Pooling,1,1.9912474819854324,0,10.525039305393294,12.516286787378727,11.225256725762893,11.52066304638601,25,788,13
IN,75,3,Subsampling,1,2.7909171180250922,0,10.125204487373464,12.916121605398557,11.225256725762893,11.52066304638601,25,788,13
IN,75,3,Repeated,1,2.2537646510347678,0,10.393780720868627,12.647545371903394,11.225256725762893,11.52066304638601,25,788,13
KY,0,2,HCP++,1,2.2930969577845737,0,10.579222735350815,12.872319693135388,12.100717685412471,11.725771214243101,25,788,11
KY,0,2,HCP.sample,1,2.234687905022991,0,10.590014264530353,12.824702169553344,12.100717685412471,11.725771214243101,25,788,11
KY,0,2,HCP,1,2.2537646510347678,0,10.581832767646278,12.835597418681045,12.100717685412471,11.708715093163661,25,788,11
