experiment,o_observed,coverage_donor_within,coverage_donor_no_within,coverage_stdcp,coverage_hcp,width_donor_within,width_donor_no_within,width_stdcp,width_hcp,infinite_donor_within,infinite_donor_no_within,infinite_stdcp,infinite_hcp
32,20,0.83,0.81,0.78,0.89,1.6918716727033267,1.322071831995256,1.886821783072564,1.723669088800156,0,0,0,0
32,30,0.81,0.78,0.8,0.87,2.2518950587236493,1.4629812533886897,1.5582253502310612,1.723669088800156,0,0,0,0
32,40,0.82,0.79,0.86,0.87,2.267695328816706,1.4790062821612544,1.5969803265620042,1.723669088800156,0,0,0,0
32,50,0.8,0.82,0.83,0.86,2.3303343879815905,1.5283490499788035,1.6738421965007064,1.723669088800156,0,0,0,0
33,0,0.93,0.93,,0.93,2.0951282817672965,2.0951282817672965,,2.0951282817672965,0,0,0,0
33,10,0.92,0.92,0.83,0.95,1.8428869482125139,1.8194472117984093,4.712004739884628,2.0951282817672965,0,0,0,0
33,20,0.68,0.88,0.86,0.94,1.5050640659141248,1.6737576480405116,2.05049186232967,2.0951282817672965,0,0,0,0
33,30,0.81,0.85,0.86,0.95,2.173470504059436,1.4938469195163397,1.534834708913814,2.0951282817672965,0,0,0,0
33,40,0.82,0.89,0.86,0.91,2.246152417855266,1.5333843643761687,1.5913048811609416,2.0951282817672965,0,0,0,0
33,50,0.77,0.78,0.81,0.94,2.25580100578206,1.5557143883555877,1.5486373635177513,2.0951282817672965,0,0,0,0
34,0,0.86,0.86,,0.86,1.6898419633531354,1.6898419633531354,,1.6898419633531354,0,0,0,0
34,10,0.86,0.79,0.83,0.84,1.7538650638331195,1.496634874438525,4.552467912212705,1.6898419633531354,0,0,0,0
34,20,0.73,0.7,0.75,0.77,1.6856856527462587,1.4060135256547714,1.7715015276052892,1.6898419633531354,0,0,0,0
34,30,0.8,0.81,0.86,0.87,2.220446621091977,1.3744332308386538,1.6189462536457677,1.6898419633531354,0,0,0,0
34,40,0.81,0.94,0.87,0.92,2.3255241711595938,1.5107849974743277,1.6072063864084485,1.6898419633531354,0,0,0,0
34,50,0.79,0.81,0.84,0.84,2.2827553004187093,1.4900489975383653,1.5717825604971214,1.6898419633531354,0,0,0,0
35,0,0.92,0.92,,0.92,2.056045594626373,2.056045594626373,,2.056045594626373,0,0,0,0
